Damage,Score
735166166.70,9
1059166667,10
1037200000,11
571166666.70,12
3446333333,13
155000000,14
2601800000,15
7683333333,16
3000000000,17
2500000000,18
70200000000,19
2764500000,20
125000000000,21
80000000,22
200000000,23
12050000000,24
14060000000,25
8305000000,26
1300000000,27
55025000000,28
44610000000,29
14250000000,30
25100000000,31
7450000000,33
23300000000,36
64760000000,37
1760000000,39
29400000000,40
161000000000,41
